"rank","name","position","team","comp","attempt","pass_yds","pass_td","int","car","rush_yds","rush_td","receptions","rec_yds","rec_td","tar","pct_rost","pts_tot","pts_avg","games","pos_rank","pos","pos_avg_var","pos_med_var","val_adj_avg","val_adj_med","val1","val2","val_adj_range","val3","avg_val"
133,"David Njoku","TE","Cle",0,0,0,0,0,0,0,0,47,582,5,71,43.1,135,8.4,16,17,"te2",-0.0416666666666661,0,-0.00493583415597229,0,0.995064165844028,1,0,1,0.998354721948009
134,"Tyler Higbee","TE","LAR",0,0,0,0,0,0,0,0,52,502,5,72,37.7,134.3,9,15,18,"te2",0.558333333333334,0.6,0.0661401776900296,0.0714285714285714,1.06614017769003,1.07142857142857,0.5,1.5,1.21252291637287
135,"Trevor Lawrence","QB","Jax",366,576,3885,23,15,64,307,2,0,0,0,0,40.7,300.1,18.8,16,16,"QB2",-0.574999999999999,-0.0500000000000007,-0.0296774193548387,-0.00265251989389924,0.970322580645161,0.997347480106101,-0.00892857142857155,0.991071428571428,0.986247163107564
136,"Tua Tagovailoa","QB","Mia",355,534,3757,25,12,50,171,3,0,0,0,0,50.6,319.5,21.3,15,17,"QB2",1.925,2.45,0.0993548387096775,0.129973474801061,1.09935483870968,1.12997347480106,0.4375,1.4375,1.22227610450358
138,"Dameon Pierce","RB","Hou",0,0,0,0,0,146,627,4,23,166,1,29,29.4,131.3,8.8,15,42,"rb4",-0.333333333333332,-0.449999999999999,-0.0364963503649634,-0.0486486486486486,0.963503649635037,0.951351351351351,-0.1875,0.8125,0.909118333662129
139,"J.D. McKissic","RB","Wsh",0,0,0,0,0,62,278,2,50,389,1,65,41.1,146.1,9.7,15,43,"rb4",0.566666666666666,0.449999999999999,0.0620437956204379,0.0486486486486486,1.06204379562044,1.04864864864865,0.1875,1.1875,1.09939748142303
140,"Raheem Mostert","RB","Mia",0,0,0,0,0,125,649,4,13,101,1,18,40.4,126.5,9.7,13,44,"rb4",0.566666666666666,0.449999999999999,0.0620437956204379,0.0486486486486486,1.06204379562044,1.04864864864865,0.1875,1.1875,1.09939748142303
141,"Bills D/ST","D/ST","Buf",0,0,0,0,0,0,0,0,0,0,0,0,99,183.9,10.8,17,1,"def1",1.04166666666667,1.25,0.106746370623399,0.130890052356021,1.1067463706234,1.13089005235602,0.520833333333333,1.52083333333333,1.25282325210425
142,"Saints D/ST","D/ST","NO",0,0,0,0,0,0,0,0,0,0,0,0,98.6,188.6,11.1,17,2,"def1",1.34166666666667,1.55,0.137489325362938,0.162303664921466,1.13748932536294,1.16230366492147,0.645833333333333,1.64583333333333,1.31520877453925
143,"Packers D/ST","D/ST","GB",0,0,0,0,0,0,0,0,0,0,0,0,94.2,177.6,10.4,17,3,"def1",0.641666666666667,0.85,0.0657557643040138,0.0890052356020942,1.06575576430401,1.08900523560209,0.354166666666666,1.35416666666667,1.16964255552426
144,"Ravens D/ST","D/ST","Bal",0,0,0,0,0,0,0,0,0,0,0,0,93.2,180.4,10.6,17,4,"def1",0.841666666666667,1.05,0.0862510674637063,0.109947643979057,1.08625106746371,1.10994764397906,0.4375,1.4375,1.21123290381425
145,"49ers D/ST","D/ST","SF",0,0,0,0,0,0,0,0,0,0,0,0,92.5,162.8,9.6,17,5,"def1",-0.158333333333333,0.0499999999999989,-0.0162254483347566,0.00523560209424073,0.983774551665243,1.00523560209424,0.0208333333333329,1.02083333333333,1.00328116236427
