"rank","name","position","team","comp","attempt","pass_yds","pass_td","int","car","rush_yds","rush_td","receptions","rec_yds","rec_td","tar","pct_rost","pts_tot","pts_avg","games","pos_rank","pos","pos_avg_var","pos_med_var","val_adj_avg","val_adj_med","val1","val2","val_adj_range","val3","avg_val"
59,"Elijah Mitchell","RB","SF",0,0,0,0,0,248,1040,8,26,181,1,33,90.9,200.4,13.4,15,25,"rb3",22.9916666666667,24.7,0.129597444689746,0.140580535002846,9.03677955751797,9.12464428002277,0.638242894056848,13.1059431524548,10.4224556633318
60,"Miles Sanders","RB","Phi",0,0,0,0,0,221,1079,5,32,260,1,43,89.7,212.4,14.2,15,22,"rb2",-9.58333333333334,-9.49999999999997,-0.0431714092649599,-0.0428120775123928,23.920714768376,23.9296980621902,-0.21788990825688,19.552752293578,22.4677217080481
61,"Devin Singletary","RB","Buf",0,0,0,0,0,200,908,7,31,207,1,41,88.5,194.4,13,15,26,"rb3",16.9916666666667,18.7,0.0957771619146038,0.106431417188389,8.76621729531683,8.85145133750711,0.483204134366925,11.8656330749354,9.82776723591978
62,"Cordarrelle Patterson","RB","Atl",0,0,0,0,0,134,546,3,45,395,2,60,89.8,172.9,12.3,14,32,"rb3",-4.50833333333333,-2.79999999999998,-0.025412184696322,-0.0159362549800796,7.79670252242942,7.87250996015936,-0.07235142118863,7.42118863049096,7.69680037102658
63,"Darren Waller","TE","LV",0,0,0,0,0,0,0,0,68,881,5,106,98.9,186.7,11.7,16,5,"te1",7.55833333333331,9.69999999999999,0.0421919337581987,0.0548022598870056,5.21095966879099,5.27401129943503,0.0929118773946359,5.46455938697318,5.31651011839973
64,"George Kittle","TE","SF",0,0,0,0,0,2,12,0,66,818,5,95,98,182.8,12.2,15,6,"te1",3.65833333333333,5.80000000000001,0.0204214541563939,0.032768361581921,5.10210727078197,5.1638418079096,0.0555555555555557,5.27777777777778,5.18124228548978
65,"Allen Robinson II","WR","LAR",0,0,0,0,0,0,0,0,71,920,6,119,88.5,191.5,12,16,36,"wr3",-7.06666666666666,-7.69999999999999,-0.0355883834144704,-0.0386546184738955,9.6441161658553,9.61345381526104,-0.601562499999999,3.98437500000001,7.74731499370545
66,"Hunter Renfrow","WR","LV",0,0,0,0,0,4,23,0,79,805,6,106,89.9,208.5,13,16,21,"wr2",-5.25833333333333,-6.30000000000001,-0.0245994308214104,-0.0293296089385475,23.4096136602861,23.2960893854749,-0.342391304347827,15.7826086956522,20.8294372471377
67,"Adam Thielen","WR","Min",0,0,0,0,0,0,0,0,73,797,7,105,89.4,197.5,13.2,15,32,"wr3",-1.06666666666666,-1.69999999999999,-0.00537183145878796,-0.00853413654618468,9.94628168541212,9.91465863453815,-0.132812499999999,8.67187500000001,9.51093843998343
68,"Drake London","WR","Atl",0,0,0,0,0,0,0,0,74,930,4,118,85.3,188.3,11.8,16,39,"wr4",7.94166666666666,8.65000000000001,0.044032712655362,0.0481491789590871,1.04403271265536,1.04814917895909,0.445876288659794,1.44587628865979,1.17935272675808
69,"Rashod Bateman","WR","Bal",0,0,0,0,0,0,0,0,76,930,5,117,85.3,196,12.3,16,33,"wr3",-2.56666666666666,-3.19999999999999,-0.0129259694477086,-0.0160642570281124,9.87074030552292,9.83935742971888,-0.249999999999999,7.50000000000001,9.07003257841393
70,"Lamar Jackson","QB","Bal",308,477,3420,23,14,160,924,4,0,0,0,0,98.9,367,22.9,16,8,"QB1",-19,-14.65,-0.0492227979274611,-0.0383859557185903,9.50777202072539,9.6161404428141,-0.129302736098852,8.70697263901148,9.27696170085032
